"alpha","beta","sigma","specie"
-1.12865459035135,2.51534984117179,0.162228175375992,"AEQUOPE"
-1.02297246548438,2.43403360090088,0.159790689944969,"AEQUOPE"
-0.789784652104602,2.45225882526321,0.160035765252468,"AEQUOPE"
-1.25323655388711,2.62793026859593,0.164957093911548,"AEQUOPE"
-1.01729290864012,2.53872716808614,0.16233096794557,"AEQUOPE"
-1.06155796718465,2.51237142472665,0.158633687222034,"AEQUOPE"
-1.04755423991116,2.38592882674558,0.162405439071829,"AEQUOPE"
-1.13600663899009,2.46783252571043,0.159064533068252,"AEQUOPE"
-1.04917498186586,2.56875703276378,0.163244656739368,"AEQUOPE"
-1.13337750444427,2.69613714488751,0.160521024814285,"AEQUOPE"
-1.03625987629446,2.68628444522748,0.1601745682865,"AEQUOPE"
-0.908575845060917,2.51163099816057,0.160805341054279,"AEQUOPE"
-1.22268629525909,2.48544808297678,0.162647928743411,"AEQUOPE"
-1.07975051086884,2.47291295974401,0.164324528946311,"AEQUOPE"
-1.08258923988493,2.47118807096683,0.159990097027648,"AEQUOPE"
-0.97283656731786,2.7972718111115,0.161241727078885,"AEQUOPE"
-1.02582928132598,2.55197804274729,0.16111402740675,"AEQUOPE"
-1.18049932870999,2.57161932642218,0.160785113137929,"AEQUOPE"
-1.08715346842903,2.64212482085254,0.162245486227285,"AEQUOPE"
-1.4768785900242,2.48643331904982,0.160363281148535,"AEQUOPE"
-1.23035647414221,2.43366388568845,0.159318308443089,"AEQUOPE"
-0.82540279142012,2.49724893962555,0.16022519925107,"AEQUOPE"
-1.17111264075134,2.36469642826966,0.162536665122797,"AEQUOPE"
-0.971721201400727,2.53853801739392,0.163944198785951,"AEQUOPE"
-1.00162898162257,2.36870529351846,0.159881586276395,"AEQUOPE"
-0.969110159516732,2.47043902206784,0.160920430523339,"AEQUOPE"
-1.02175439914367,2.51392212349577,0.159315693871962,"AEQUOPE"
-0.988501950875813,2.52036506604533,0.1597373124632,"AEQUOPE"
-1.02140238532856,2.43976365811565,0.161780672188337,"AEQUOPE"
-0.955480391542506,2.47353261196215,0.161318692170884,"AEQUOPE"
-0.992147838847625,2.45487229571455,0.162818603782708,"AEQUOPE"
-0.982613512061934,2.62290919387391,0.161159641578545,"AEQUOPE"
-1.09072591551056,2.32003095495753,0.159581268292816,"AEQUOPE"
-1.27309824109843,2.49983905740689,0.162069311701942,"AEQUOPE"
-1.06616018479699,2.39903854765117,0.163326167328815,"AEQUOPE"
-1.14327490138776,2.56767698586753,0.158831974425278,"AEQUOPE"
-1.16140223522595,2.66761631407384,0.160657534925773,"AEQUOPE"
-1.02941335463629,2.47348003742321,0.161564753734317,"AEQUOPE"
-1.16086602527963,2.49283522295905,0.161443619088998,"AEQUOPE"
-0.91634277248776,2.30761829011731,0.158946823453262,"AEQUOPE"
-1.03183892008383,2.60027222786908,0.161627812597657,"AEQUOPE"
-1.22545346999413,2.53315192230478,0.1617263560166,"AEQUOPE"
-0.929164259800768,2.55486820453426,0.164138191364291,"AEQUOPE"
-1.11980029713946,2.66234045864073,0.160227929888856,"AEQUOPE"
-1.05681696226199,2.41592058450665,0.157885650360186,"AEQUOPE"
-1.36795974626237,2.46569191033494,0.162103381933885,"AEQUOPE"
-1.00445562692802,2.37631484027534,0.161752887688861,"AEQUOPE"
